Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B12 (Cobalamin) (µg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2011-4-18,"Soup, vegetarian vegetable, canned, prepared with equal volume water","1.00 cup",67.48,,,222.71,0.05,,0.05,0.90,0.34,0.06,9.64,3424.61,1.45,,1.40,5.06,24.10,0.13,1.06,7.23,0.45,33.74,207.26,4.34,814.58,0.46,11.78,0.72,7.28,3.78,1.90,,0.82,0.05,0.66,0.71,0.29,,,,,,,,,2.07,,,,
2011-4-18,"Rice, white, long-grain, regular, enriched, cooked","1.00 cup",205.40,,,108.14,0.26,,0.02,2.33,0.62,0.15,91.64,,,,0.06,,15.80,0.11,1.90,18.96,0.75,67.94,55.30,11.85,1.58,0.77,44.51,0.63,43.80,0.08,0.44,,0.14,0.02,0.10,0.12,0.12,,0.09,0.10,0.18,0.35,0.15,0.10,0.23,4.25,0.15,0.05,0.14,0.26
2011-4-18,"Restaurant, family style, french fries","1.22 serving",601.12,,,89.84,0.23,,0.12,5.33,1.13,0.49,31.20,,2.29,,2.08,74.67,35.36,0.23,1.89,60.32,0.49,257.92,1133.60,0.83,742.56,1.06,77.38,8.11,69.91,0.58,29.20,2.08,6.98,1.65,11.91,13.74,5.18,0.22,0.07,0.11,0.25,0.37,0.29,0.09,0.32,7.26,0.23,0.10,0.20,0.51
2011-4-18,"Candies, milk chocolate","1.00 bar (1.55 oz)",235.40,,8.80,0.66,0.05,0.33,0.13,0.17,0.21,0.02,5.28,85.80,,,0.22,2.51,83.16,0.22,1.03,27.72,0.21,91.52,163.68,1.98,34.76,1.01,26.14,1.50,1.98,22.66,13.05,10.12,3.16,0.05,0.54,0.61,8.14,,,,,,,,,3.37,,,,
2011-4-18,"Cabbage, common, cooked, boiled, drained, with salt","1.00 x 0.5 cup, shredded",17.25,,,69.43,0.05,,0.03,0.19,0.13,0.08,22.50,60.00,28.13,,0.11,81.53,36.00,0.01,0.13,11.25,0.15,24.75,147.00,0.45,191.25,0.15,4.13,1.43,0.62,2.09,0.04,,0.01,0.01,0.01,0.02,,,0.01,0.02,0.02,0.03,0.03,0.01,0.02,0.95,0.03,0.01,0.01,0.03
2011-4-18,"Bread, white, commercially prepared (includes soft bread crumbs)","2.59 slice",199.50,,,27.32,0.40,,0.18,3.59,0.40,0.07,83.25,0.75,,,0.17,0.15,108.00,0.08,2.71,17.25,0.40,73.50,94.50,16.50,367.50,0.56,37.07,2.03,27.88,4.25,2.50,,0.45,0.13,1.07,1.20,0.52,0.02,,,,,,,,6.64,,,,
2011-4-18,"Beverages, water, tap, drinking","2.00 liter",,,,1998.00,,,,,,,,,,,,,60.00,0.20,,20.00,,,,,80.00,0.20,,,,,,,,,,,,,,,,,,,,,,,,
2011-4-18,"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled","2.00 x 3.0 oz",360.40,,,102.56,0.13,2.94,0.24,13.27,0.98,1.04,15.30,,,11.90,0.71,2.55,37.40,0.15,3.21,42.50,0.02,389.30,625.60,54.23,103.70,9.06,,,,,16.44,149.60,6.73,0.10,0.45,0.61,6.38,,0.64,1.59,2.27,3.97,4.21,1.30,1.97,49.86,1.99,0.33,1.59,2.47
2011-4-19,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","150.00 g",334.50,,,91.64,0.08,2.34,0.22,7.07,0.77,0.51,12.00,,,,0.61,2.25,9.00,0.09,3.23,25.50,0.01,238.50,315.00,41.10,51.00,6.46,,,,,18.66,129.00,7.96,0.18,0.50,0.72,7.08,,0.52,1.30,1.85,3.24,3.44,1.06,1.61,39.07,1.63,0.27,1.30,2.02
2011-4-19,"Soup, vegetarian vegetable, canned, prepared with equal volume water","2.00 cup",134.96,,,445.42,0.11,,0.09,1.80,0.67,0.11,19.28,6849.22,2.89,,2.80,10.12,48.20,0.27,2.12,14.46,0.91,67.48,414.52,8.68,1629.16,0.92,23.57,1.45,14.56,7.57,3.81,,1.64,0.10,1.33,1.42,0.58,,,,,,,,,4.15,,,,
